displacement,horsepower,weight,acceleration
372.4,178.1,3353,8.9
345.0,115.9,4961,22.2
384.4,177.0,2492,15.8
315.0,184.0,2054,12.4
280.2,59.4,3278,22.9
219.7,182.5,4100,11.3
379.1,117.2,2056,24.1
358.5,126.6,4230,11.5
104.0,144.0,2241,18.4
98.2,189.0,3681,11.8
206.7,52.9,4446,17.3
341.3,121.5,2913,19.6
396.1,153.2,4237,11.2
136.6,158.4,2381,16.9
274.2,153.9,4915,16.0
208.1,70.2,3535,9.2
390.7,94.9,4445,21.9
351.1,103.8,1818,13.7
349.9,170.7,2924,17.8
235.3,91.8,4454,16.8
218.6,81.6,3180,16.7
174.8,193.6,3365,9.8
107.5,51.3,3880,15.2
358.1,199.7,3793,15.7
342.0,151.5,5100,20.5
399.9,174.3,3347,22.3
399.0,94.2,2661,17.3
262.2,52.1,1954,9.5
328.4,160.7,2704,12.0
382.9,175.1,3069,10.8
353.4,161.1,2204,10.1
166.7,71.4,2643,14.2
229.7,163.0,3582,11.9
130.0,165.3,3364,11.7
385.8,148.8,2984,8.9
277.9,164.9,2546,8.3
160.9,176.9,3525,9.7
298.2,142.0,4988,10.9
281.6,63.3,2070,15.3
201.0,123.1,2569,16.7
125.2,61.6,3515,10.4
298.2,111.1,3310,15.2
251.3,111.1,1971,13.8
329.4,59.9,2073,11.1
251.3,102.3,4106,8.1
354.2,66.6,2958,15.9
261.1,171.2,3506,19.7
263.9,192.2,3571,11.8
361.8,60.8,2221,10.2
215.1,193.3,3244,23.1
131.5,128.4,3009,12.7
98.9,94.9,4211,11.8
324.1,61.5,4225,22.6
282.3,125.1,2379,21.9
308.3,169.2,2690,15.6
156.0,156.1,2521,16.3
132.3,57.5,5067,11.7
94.5,60.9,2680,9.3
198.7,110.4,2921,17.7
272.9,94.3,4452,9.7
211.6,84.9,3807,15.6
225.6,92.2,3869,24.0
370.3,170.5,3273,24.2
198.0,189.4,5043,12.1
249.3,110.8,2182,18.6
332.9,185.9,3981,16.1
212.9,98.2,3249,22.9
282.8,121.5,4896,12.6
357.3,83.9,4350,8.1
384.4,146.1,5056,10.8
135.6,196.8,4956,13.9
377.2,140.5,3390,13.4
242.6,103.7,3586,21.5
170.1,147.2,1943,19.6
232.3,68.4,3686,13.1
393.8,183.3,3502,15.8
242.7,125.5,3235,9.6
191.9,117.4,2023,23.3
286.4,137.9,2019,23.9
164.4,143.7,1978,24.7
113.5,60.8,3454,22.8
130.0,152.4,2232,11.0
129.7,86.3,2064,8.8
137.1,157.1,2753,17.9
133.0,173.4,2228,23.5
288.7,170.6,4263,11.0
146.4,132.9,4574,8.1
197.2,128.0,4044,21.7
368.0,71.4,3377,9.3
236.9,166.3,4924,15.0
296.9,90.7,2279,19.5
143.4,124.5,3153,12.0
149.6,92.6,5122,9.4
102.7,70.1,2689,21.1
142.4,144.4,2724,18.7
176.4,58.1,3970,24.8
144.9,162.3,3702,13.9
117.5,97.6,3210,9.0
127.4,50.0,3162,20.5
232.8,126.7,2577,16.9
154.0,57.0,4195,11.6
202.9,91.4,1828,21.3
246.1,156.0,4822,11.5
304.0,59.4,1834,12.4
102.2,175.9,3219,9.6
337.8,50.6,4470,14.8
284.6,87.0,5165,15.1
115.3,161.1,2388,16.7
360.8,97.4,5018,20.1
375.5,65.3,4938,23.4
108.9,104.0,2703,10.3
175.8,90.6,4367,8.9
339.9,176.4,3969,8.3
322.0,97.0,2139,10.4
147.2,168.3,1974,19.2
154.9,183.8,3723,20.4
204.8,115.1,3514,21.4
240.2,186.5,2396,12.1
281.7,106.6,2250,13.2
204.4,194.6,2356,16.2
233.4,63.4,2959,9.1
321.7,153.1,4887,18.4
101.4,124.1,3156,24.7
168.3,108.1,5066,14.1
311.1,144.9,3856,20.8
367.5,155.6,4181,16.5
248.6,50.7,2816,10.2
255.0,75.0,4174,17.9
123.2,157.0,3862,13.1
228.7,150.0,2638,8.6
255.1,194.9,3437,18.8
165.2,164.2,2025,22.6
173.5,192.6,3613,13.9
207.0,155.4,3960,14.6
96.2,94.7,3820,23.1
189.8,65.8,3251,21.8
155.5,167.3,3848,20.2
191.5,146.6,4113,12.2
127.1,57.2,3314,23.5
366.1,104.0,3031,10.6
274.0,193.5,3445,18.7
300.5,125.1,3535,8.5
334.6,114.9,4799,18.9
244.5,118.7,2105,12.7
116.9,81.3,3859,15.6
256.5,105.3,3523,13.9
271.9,105.5,3489,10.9
321.1,57.9,3317,18.6
223.8,165.1,3191,23.0
129.5,112.5,4784,24.3
178.0,173.3,2219,11.3
202.6,177.6,4736,20.2
290.2,81.8,4018,19.3
266.9,148.6,1933,13.8
200.4,120.8,3830,8.3
395.8,182.0,4812,19.7
277.8,82.4,3250,24.1
163.5,151.7,4896,18.7
121.6,141.2,3353,15.4
137.4,94.3,5061,16.9
166.2,70.5,2964,11.4
139.8,147.7,3669,20.8
147.8,160.8,3619,20.7
178.4,97.3,4505,10.5
143.7,146.7,5186,22.9
368.0,109.3,3142,12.6
114.9,157.0,3264,24.7
252.6,79.9,4963,14.5
217.2,183.5,4026,11.0
394.5,93.1,2879,14.0
124.7,105.2,2978,15.5
213.3,58.7,3495,9.2
390.5,66.7,1910,17.8
358.3,127.4,3984,18.2
343.3,90.1,4079,20.6
169.9,175.3,4839,8.5
143.0,52.2,2267,17.2
297.3,106.9,4579,8.9
378.1,100.6,4328,19.9
262.6,52.9,4939,8.9
267.2,68.7,2613,23.5
176.8,112.0,3072,19.9
328.5,123.9,2793,16.6
148.0,110.6,3831,15.5
190.3,129.6,2122,10.2
221.9,139.3,4769,12.9
247.4,51.5,2703,22.8
165.1,119.6,3341,23.4
125.6,194.5,3799,8.0
279.3,127.9,3615,18.1
179.5,151.6,4453,20.2
270.2,96.8,4276,18.5
137.9,166.1,5140,9.4
239.2,165.9,1947,11.7
255.1,128.2,2941,12.3
106.1,196.4,2649,22.1
194.3,68.8,2166,15.9
131.7,52.5,4697,16.3
109.6,165.5,2889,23.9
396.9,171.1,3838,18.8
189.9,68.0,4660,23.3
341.1,89.8,1974,15.8
168.9,52.6,3654,10.5
301.3,94.0,2387,23.8
325.7,166.0,2294,15.8
274.6,127.7,4820,11.1
236.2,102.2,2937,13.1
217.7,105.8,4982,8.9
198.1,50.2,3584,16.0
378.2,95.0,2970,22.5
347.5,147.0,1834,23.9
389.2,196.1,2798,23.9
128.5,177.1,3132,10.1
316.6,53.5,4385,14.5
380.9,184.8,4597,8.5
146.2,167.5,2837,22.5
110.6,167.1,2173,14.1
319.7,118.7,4404,18.7
268.1,109.7,3251,20.2
351.0,95.4,3551,15.3
133.3,59.9,4080,13.2
336.5,84.2,2504,24.4
152.5,87.0,2362,24.4
140.7,122.6,4786,12.9
140.9,162.1,4734,16.2
342.5,121.1,4573,24.5
296.2,58.7,5146,8.1
252.2,193.7,3673,15.0
201.2,191.4,3923,9.7
361.9,167.8,2238,16.7
211.7,198.7,3683,8.4
343.1,131.7,3779,14.9
226.1,194.4,2498,11.8
206.9,61.3,3112,17.1
233.4,104.9,4762,24.9
183.4,83.8,3363,21.6
321.8,79.4,4738,22.4
245.8,71.1,2491,18.8
162.0,143.4,4100,8.7
368.9,167.2,4997,11.5
209.0,136.7,3000,23.7
258.5,72.0,4908,14.2
371.0,171.7,4257,9.8
283.5,145.4,3434,19.9
126.2,108.2,3433,13.1
381.3,151.1,1926,12.6
284.6,89.0,3306,25.0
193.8,101.8,2991,22.6
133.2,187.6,4439,14.9
336.1,93.6,2093,24.7
282.2,120.5,3166,19.1
255.4,183.5,2819,20.6
367.1,156.2,4157,8.5
334.5,59.3,4509,10.1
137.0,72.1,4375,18.8
186.6,51.2,4387,23.3
167.0,144.6,2218,18.6
320.6,117.2,2243,10.3
100.4,70.1,2484,10.0
266.7,193.7,4687,22.4
326.4,129.4,4083,10.4
361.8,86.3,3262,16.8
196.0,125.1,4061,8.6
344.6,151.9,1884,9.4
124.3,61.4,4641,19.4
352.4,91.2,3567,19.7
129.5,171.0,1884,13.8
213.2,118.9,3744,11.7
337.2,132.0,3912,21.8
136.5,114.9,3469,11.7
161.1,56.6,2462,17.2
313.9,74.9,2426,24.5
313.2,116.8,1863,10.5
288.8,81.4,4786,24.0
305.1,57.5,2718,11.1
258.2,176.5,3175,17.6
168.1,197.2,2981,14.4
197.2,169.0,3412,24.4
146.3,178.1,2290,12.7
371.6,86.3,3678,14.8
270.9,194.1,5096,24.7
214.3,79.5,3740,17.1
233.2,192.7,2112,16.5
383.7,199.2,4462,12.4
137.5,156.8,2718,19.9
271.7,197.2,3682,8.2
246.8,135.4,2612,8.8
279.6,88.9,4787,18.2
95.6,115.5,3289,13.8
360.4,139.0,4959,24.2
379.0,61.0,3126,23.4
265.2,143.4,2479,20.1
306.0,197.2,2234,21.9
376.0,78.5,2481,19.3
309.2,168.9,2958,10.1
137.3,186.2,2873,21.0
268.6,191.6,3255,11.6
278.1,194.0,4187,13.5
221.5,128.2,4194,21.9
318.3,196.6,4493,17.1
379.7,163.6,3170,22.6
376.9,74.3,2448,11.6
229.8,121.5,2044,18.3
125.1,157.7,3956,9.4
395.3,87.1,4380,18.9
350.1,146.1,4961,21.0
128.6,150.0,2095,17.9
375.5,74.4,3959,12.5
359.7,134.8,3412,8.5
250.8,165.7,5048,10.0
273.3,124.8,4190,18.6
213.7,51.8,3948,23.9
107.0,51.4,4476,11.5
193.9,103.6,3427,20.5
338.9,188.9,1827,22.7
91.4,84.3,4784,16.9
193.4,145.2,3785,19.4
213.4,83.3,3360,21.9
256.6,98.3,1857,12.4
375.2,177.2,3321,13.0
197.4,159.3,2096,8.0
197.6,64.3,3981,24.4
318.6,114.3,4096,23.6
230.2,54.4,4868,21.0
159.6,122.1,4397,9.3
230.3,149.4,2701,15.6
133.7,67.8,3764,9.7
144.7,93.3,2898,8.3
244.5,109.7,3477,18.5
219.9,187.9,4681,24.3
373.6,199.0,2991,23.3
202.3,56.7,2570,19.8
270.0,164.2,3326,9.6
286.0,105.8,3178,12.7
94.1,108.9,3048,13.4
295.7,163.1,3354,21.0
145.2,187.8,1945,21.6
387.9,192.6,3783,14.5
136.1,136.6,3064,15.1
218.5,103.6,3707,8.8
116.5,168.1,4740,12.9
399.0,87.7,4191,15.7
245.7,134.6,3572,10.0
274.6,103.8,2858,15.7
110.8,148.5,4549,22.5
322.5,86.1,3848,17.9
155.1,78.7,3819,9.3
368.4,187.7,1952,11.3
153.6,65.3,4276,16.1
149.1,125.9,2307,14.1
101.3,83.1,4997,14.1
236.3,55.8,2290,17.0
265.1,55.4,2144,17.9
110.4,76.3,3735,21.5
330.4,180.0,3561,13.8
230.5,92.4,2020,21.7
252.6,192.6,3738,13.8
226.6,137.2,3742,8.9
214.2,115.5,2522,17.4
263.5,137.0,4896,18.0
138.1,127.5,2327,23.9
146.4,163.8,5053,20.3
357.2,92.4,3322,23.6
383.3,103.0,4688,23.4
205.7,184.1,3464,18.3
173.9,192.0,4913,17.0
289.6,183.9,2280,17.5
216.7,112.9,4777,24.6
97.9,167.1,3671,21.1
138.4,121.5,4719,9.8
312.0,124.6,3262,21.2
294.3,80.7,3225,10.9
98.4,138.7,2144,15.6
158.8,77.9,1844,11.6
161.6,99.7,3868,19.7
298.3,178.3,3457,22.9
96.1,81.1,4941,12.9
122.3,60.7,3687,9.4
338.0,60.4,4720,13.1
145.3,191.1,3895,19.4
292.4,126.0,3314,13.6
163.8,111.4,4398,12.7
120.8,171.6,4134,11.1
165.4,175.4,2801,16.5
313.9,99.8,2833,12.7
355.3,154.0,4389,20.4
347.4,165.7,3840,9.3
213.1,148.2,4603,19.3
297.1,72.7,2073,12.0
153.5,181.4,2755,16.3
180.9,130.9,4447,12.9
367.9,92.4,3579,20.3
94.0,113.8,2180,24.1
116.5,55.6,3152,23.6
154.4,69.2,2278,17.9
98.2,164.8,3862,15.9
146.2,50.0,2315,21.9
270.7,112.5,1990,19.6
220.6,128.4,2991,11.1
366.7,58.2,4468,22.0
343.4,196.0,2960,15.3
196.0,83.9,4001,11.2
170.4,95.6,3211,12.8
207.7,95.6,5080,12.5
273.0,84.6,2071,16.8
173.1,50.2,1942,12.0
283.5,159.4,3712,10.1
216.9,195.0,2892,10.1
261.1,83.6,4094,17.9
225.2,149.5,5132,20.5
181.3,161.3,2587,13.5
384.0,177.3,3926,8.6
326.7,113.4,3481,10.2
133.4,95.4,2422,23.5
359.2,98.8,4372,16.4
241.1,156.9,4619,15.7
367.3,172.5,2737,8.6
338.0,77.2,5060,20.4
221.8,105.6,2918,17.0
97.0,185.3,2416,11.4
173.3,171.0,2831,9.9
257.9,197.7,1866,14.5
286.4,163.1,1990,22.2
169.9,109.0,4615,22.7
133.2,138.6,2320,18.2
